trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20220101,3380,839,962
20220101,3390,6758,7089
20220101,3400,398,464
20220101,3410,875,1048
20220101,3420,2012,2476
20220101,3430,982,1122
20220101,3431,20,26
20220101,3432,138,176
20220101,3433,16,31
20220101,3434,635,531
20220101,3435,88,95
20220101,3436,294,339
20220101,3450,712,755
20220101,3460,154,208
20220101,3470,5535,6045
20220101,3480,1887,2113
20220101,3490,109,134
20220101,4050,1288,1313
20220101,4060,1683,1786
20220101,4070,518,519
20220101,4080,11563,12288
20220101,4090,631,668
20220101,4100,152,193
20220101,4110,499,567
20220101,4120,4160,4683
20220101,4130,410,402
20220101,4140,465,556
20220101,4150,997,1167
20220101,4160,121,136
20220101,4170,2550,2747
20220101,4180,670,680
20220101,4190,2030,2063
20220101,4200,6477,3839
20220101,4210,2226,2071
20220101,4220,28307,27727
20220101,4250,2596,5097
20220101,4260,887,821
20220101,4270,372,386
20220101,4271,304,295
20220101,4272,2170,2219
20220101,4290,853,984
20220101,4300,1420,1613
20220101,4310,2497,2592
20220101,4320,1817,1732
20220101,4330,2312,2195
20220101,4340,13583,12917
20220101,4350,747,805
20220101,4360,742,722
20220101,4370,1643,1601
20220101,4380,550,392
20220101,4390,645,559
20220101,4400,17468,15816
20220101,4410,642,615
20220101,4420,1169,1114
20220101,4430,1012,976
20220101,4440,4563,4734
20220101,4450,620,554
20220101,4460,1097,1196
20220101,4470,92,98
20220101,5000,10587,11233
20220101,5010,161,231
20220101,5020,182,217
20220101,5030,657,734
20220101,5040,272,363
20220101,5050,3554,3940
20220101,5060,36,49
20220101,5070,358,407
20220101,5080,24,38
20220101,5090,538,473
20220101,5100,126,121
20220101,5110,51,333
20220101,5120,1140,1306
20220101,5130,356,2
20220101,5140,1,6
20220101,5160,5,27
20220101,5190,213,237
20220101,5200,34,22
20220101,5210,954,860
20220101,5220,436,281
20220101,5230,755,704
20220101,5240,13,12
20220101,6000,6178,4507
20220101,6010,11,67
20220101,6020,201,159
20220101,6030,20,30
20220101,6040,2,6
20220101,6050,411,412
20220101,6060,0,10
20220101,6070,865,746
20220101,6080,106,121
20220101,6090,6,14
20220101,6100,25,11
20220101,6110,1129,1214
20220101,6120,7,12
20220101,6130,554,702
20220101,6140,34,43
20220101,6150,8,6
20220101,6160,365,348
20220101,6170,30,28
20220101,6180,279,279
20220101,6190,5,17
20220101,6200,57,59
20220101,6210,35,34
20220101,6220,235,253
20220101,6230,8,7
20220101,6240,310,332
20220101,6250,413,288
20220101,7000,11814,8418
20220101,7010,60,42
20220101,7020,4,13
20220101,7030,414,301
20220101,7040,15,21
20220101,7050,12,13
20220101,7060,134,187
20220101,7070,4,3
20220101,7080,10,7
20220101,7090,525,601
20220101,7100,196,135
20220101,7110,19,79
20220101,7120,419,508
20220101,7130,428,540
20220101,7140,31,42
20220101,7150,712,727
20220101,7160,6483,6256
20220101,7170,56,69
20220101,7180,98,113
20220101,7190,5163,4726
20220101,7200,118,106
20220101,7210,3654,3544
20220101,7220,70,91
20220101,7230,1205,1092
20220101,7240,259,222
20220101,7250,110,97
20220101,7260,220,257
20220101,7270,545,179
20220101,7280,51,48
20220101,7290,781,953
20220101,7300,136,185
20220101,7310,638,685
20220101,7320,148,183
20220101,7330,147,216
20220101,7331,12,12
20220101,7332,1559,1372
20220101,7333,34,28
20220101,7334,81,32
20220101,7335,924,968
20220101,7336,722,707
20220101,7350,1229,1219
20220101,7360,4449,4874
20220101,7361,101,104
20220101,7362,367,468
20220101,7380,442,482
20220101,7390,278,357
20220102,0900,6744,6897
20220102,0910,1011,1007
20220102,0920,1494,1421
20220102,0930,3691,3773
20220102,0940,1526,1480
20220102,0950,1134,1019
20220102,0960,6320,6305
20220102,0970,4123,4282
20220102,0980,8348,8205
20220102,0990,9334,11122
20220102,1000,47310,60081
20220102,1010,2886,2771
20220102,1020,21477,24127
20220102,1030,1812,1991
20220102,1040,11987,12953
20220102,1050,816,940
20220102,1060,1378,1414
20220102,1070,6509,6258
20220102,1080,25728,25389
20220102,1090,6703,7430
20220102,1100,25927,27533
20220102,1110,4402,4069
20220102,1120,4264,4144
20220102,1130,1642,1480
20220102,1140,51,69
20220102,1150,466,565
20220102,1160,3158,2846
